,stabf
19612,0
14746,0
41431,0
19157,1
36111,0
16192,0
19699,1
8220,1
43895,0
1608,1
6556,0
11218,1
50901,1
19551,0
9528,1
9767,1
18408,0
39080,1
13299,0
14712,0
24907,0
24196,0
33229,0
59723,0
36648,0
31369,0
39528,1
39900,0
16012,0
42218,0
16808,1
10742,0
13677,0
40570,0
56588,1
46397,0
34884,1
24789,0
44386,0
27256,0
21134,0
57931,0
48281,0
14781,0
14100,0
4169,0
42880,1
43617,1
35855,0
2410,1
3675,0
18117,1
32932,0
19791,1
38754,0
54184,0
28631,0
14848,1
25963,1
26335,1
33284,0
11365,1
35326,0
10888,1
50784,1
54632,1
16493,1
45871,0
33783,0
16568,1
46918,1
19866,1
58366,0
28377,1
20616,0
57626,0
57691,0
34783,1
4236,0
349,1
11741,1
24479,0
47573,1
2888,1
22958,1
5161,0
29819,0
47403,0
16461,0
51372,1
39521,0
40374,0
20112,0
56779,0
11171,1
10236,0
7190,1
22155,1
27185,1
26948,0
37827,0
29712,1
58670,0
25478,0
27401,0
24212,0
57907,1
7636,0
36646,1
43197,1
44059,0
4748,1
27666,0
38492,0
37391,0
7000,0
53112,0
3779,1
17347,0
30427,1
32224,1
18260,0
47465,0
7300,0
1675,0
41985,1
45050,1
12609,0
29780,0
24450,0
3840,1
51022,0
20254,0
28370,0
32207,1
40717,0
22013,1
58132,1
28559,1
26612,1
6574,0
7587,1
1264,1
58146,0
55661,0
6073,0
26282,0
35834,0
12382,0
50832,1
58771,0
14910,1
22092,0
47294,0
1487,0
16411,1
34792,0
23909,0
50830,0
792,1
9121,1
17265,1
2697,0
48415,0
36974,0
5074,0
31563,1
36191,0
33423,0
16022,1
53524,0
29727,0
42946,1
4021,1
45875,1
34746,0
9075,0
4076,1
35154,0
41296,0
48454,0
48429,0
6695,0
48677,1
12668,0
46466,0
12774,0
15850,1
26021,0
16824,0
2192,0
53864,0
18353,0
9999,0
26877,0
21807,1
55521,0
49054,0
58361,0
41370,1
32142,1
39088,0
20507,0
57310,1
36856,0
10803,0
48870,0
38596,0
32779,1
15659,0
20026,0
18270,0
44491,1
49197,1
7097,0
44952,1
9272,0
39042,1
17752,1
18047,0
782,0
41901,0
28073,0
35114,1
55479,0
47323,1
48427,0
53773,1
28416,0
24102,0
54170,0
48877,0
48350,0
43954,0
10355,1
9327,0
27039,1
59257,1
18400,0
313,1
14102,0
27159,1
49386,0
29530,0
28961,0
15632,0
4493,1
10541,0
55271,1
12593,0
47475,0
52464,0
19115,1
59818,1
51038,0
58723,0
33013,1
47648,1
52189,1
52386,1
3440,0
33019,1
20107,0
10035,0
59067,0
55025,0
2830,1
12656,0
17915,1
33368,1
56823,0
45657,0
17600,0
12973,0
16693,1
13782,0
15921,0
7179,1
14133,0
12881,1
37398,0
51414,0
10140,1
11160,1
7236,0
29213,1
2824,1
52665,0
1326,1
5003,1
52887,1
32662,1
26360,1
56384,0
30288,1
29281,0
9331,0
16336,0
57799,0
45916,1
23757,0
44398,0
13197,1
45146,1
45017,0
7664,1
55205,0
17370,0
56941,1
44432,0
30684,0
52847,0
35608,1
3977,0
42801,0
25044,1
39606,0
20773,0
20370,0
27205,0
31343,0
18833,0
55395,1
48540,0
37481,0
52262,0
38673,0
49847,0
40432,1
17709,1
1646,0
23629,1
42046,1
46987,1
43816,0
1994,0
2244,0
18193,1
26052,1
51853,1
12392,0
18661,1
44592,0
44726,0
41069,0
16241,0
55067,0
44939,1
39449,0
50707,0
19653,1
227,0
27525,0
28650,1
19780,0
22002,1
9245,1
35968,0
44931,1
28659,0
57217,1
28777,1
30173,0
4281,0
40281,0
1220,1
5905,0
51632,0
33859,0
26123,0
31155,0
26153,0
20813,1
13510,1
16720,1
44769,0
41122,1
13021,1
34419,0
2869,0
16341,1
16378,1
54933,1
984,0
17074,0
41126,0
39631,0
20534,1
29566,1
25362,0
51902,1
46028,0
5504,1
2943,0
31151,1
21428,1
33362,1
19858,1
3376,1
29613,0
15616,0
50974,0
57974,0
44146,0
49684,1
49499,0
5927,0
2206,1
49189,1
37868,0
18788,1
28837,0
16511,1
14977,1
53655,0
57827,0
10430,0
40878,0
3438,1
44621,0
3904,0
48843,0
55188,1
54874,0
49411,0
37801,0
21247,0
11799,1
32079,1
56424,0
41906,1
37489,0
54082,0
3599,1
57517,0
1239,0
52850,1
20412,1
24954,0
43115,0
26544,0
28945,1
45497,0
18672,0
49182,0
40350,0
2965,0
47597,1
27678,0
7111,0
42959,0
617,0
43655,0
23084,1
20394,1
54996,0
10378,0
42769,0
13817,0
15050,1
24541,0
1754,0
16569,1
15031,1
21437,0
31817,0
24741,1
1832,0
14621,0
21816,1
45285,0
31406,0
21837,0
10257,0
39614,0
21532,0
30072,0
50906,1
20584,0
44783,1
39878,0
48309,0
690,1
21586,0
17352,0
43124,1
36871,1
30235,1
24442,1
35204,1
53708,0
18780,1
38742,1
47416,1
35211,1
43847,0
1097,1
23369,1
18356,0
42027,0
58025,0
10493,0
31181,0
2581,0
6841,0
11979,1
50127,1
380,1
22500,0
25046,0
18044,1
9440,1
59268,0
29697,1
9314,0
20528,0
57204,0
31859,0
44159,0
28927,0
33264,1
16582,0
43442,0
15855,0
54835,0
45967,0
26446,0
3633,1
7217,1
24037,0
33503,1
51,0
35752,1
50328,0
5015,0
55243,0
54751,1
52195,0
4640,1
50189,0
30300,0
4443,0
37302,0
29940,0
37265,1
51450,0
59609,0
28181,1
39234,0
27448,0
40028,1
55643,0
33223,0
55166,0
25113,1
54863,0
31145,0
44847,1
21600,1
47357,0
32376,0
37909,0
48751,0
36634,1
1210,0
6826,1
29264,0
11130,0
12433,1
22730,1
59265,0
43713,0
36595,0
36940,0
41477,1
23771,0
35625,0
13340,0
52928,0
19351,0
23387,0
18882,0
24638,0
46403,1
2326,0
40022,1
40748,1
45067,0
5373,0
27526,1
38272,0
42278,0
58525,1
48887,1
7448,0
27153,1
21862,0
56363,0
14739,0
28850,1
49720,0
21304,0
36343,0
23190,0
7597,1
42936,0
2996,0
20841,0
36216,1
28738,0
26913,0
48803,0
31182,1
59998,0
9101,0
46974,0
15204,1
44087,0
58748,0
34177,0
33834,0
33073,0
2471,1
36301,1
42870,0
59078,0
26772,1
8805,0
9478,1
3636,0
11372,1
30484,0
30953,0
12965,0
56012,0
20264,0
54410,0
45668,1
31246,0
13373,0
30709,1
49190,0
30381,1
52092,0
44870,1
15150,0
8007,1
13489,0
11041,1
16886,0
29101,0
44405,1
39529,0
28679,0
59473,1
22618,1
53372,1
48602,1
13849,0
45210,0
34823,0
49664,0
26856,0
26014,1
39982,0
51083,0
1972,0
4505,0
31390,1
8337,0
40657,1
18643,0
31880,0
37147,0
21013,0
31037,0
11861,1
9993,0
11967,0
45638,0
7266,0
37107,0
52706,1
45958,1
12418,1
54571,0
50254,0
41581,0
51996,1
43694,0
26067,0
57515,1
51997,0
26740,0
9427,0
30858,1
12702,1
41634,0
43109,0
13621,0
27989,1
2354,1
696,0
20030,0
41177,0
49754,1
24473,1
27451,0
1789,1
6101,1
16785,1
56848,1
10478,0
43277,1
19723,0
21433,0
52099,0
59608,1
29890,0
5386,0
16469,1
4486,1
52020,0
1004,0
9079,0
49437,1
128,0
28933,1
14748,1
43365,0
6886,0
15114,1
55467,0
20228,1
6389,1
29180,0
51745,1
22865,0
14721,0
52450,1
53153,0
13903,0
58787,0
49555,1
55262,0
51981,0
8665,0
45624,1
14696,0
39635,0
38466,0
15441,0
48330,0
3738,0
54330,0
18430,0
48238,0
54384,0
58989,0
32476,0
58248,0
40245,1
27710,0
51711,1
28013,1
6235,0
29353,0
30051,0
56790,1
7210,0
47548,1
25277,0
4654,0
27912,1
55121,0
6708,0
21002,0
49371,0
4254,0
38419,1
41165,1
32603,1
4981,0
31937,0
52374,0
8633,0
48605,0
59336,0
36784,1
58919,1
50826,1
20958,0
841,0
13841,0
42083,0
23394,0
6484,0
10419,0
33047,1
17902,0
55282,0
6975,0
55269,1
15173,0
34433,0
15425,0
42306,1
39211,0
15295,1
2757,1
50112,0
48588,0
49363,1
43565,1
57625,1
2679,0
27908,0
27294,0
4489,1
41904,0
59235,1
42088,1
33922,1
41881,0
39513,0
5279,1
764,0
4035,1
59850,1
45882,1
48699,0
45118,0
28912,1
2859,0
39519,0
34378,0
29259,0
49051,0
18501,1
21838,1
46428,0
50948,0
15212,1
6405,0
44040,0
21299,1
22122,0
31035,1
10058,0
32105,0
56980,0
31568,0
23957,1
39921,0
55353,0
19483,1
27246,1
10615,0
39863,0
13884,1
3881,0
39070,0
12449,0
32683,0
58279,0
54853,1
48089,1
10781,1
23742,1
56099,0
59815,1
3629,1
29014,1
55043,1
4878,0
7707,1
44017,0
5293,0
48132,1
40130,0
32675,1
37870,1
25504,1
6818,0
26254,1
1907,0
20559,0
44775,0
6701,0
14252,0
34684,0
16943,0
23580,1
46413,0
34766,0
53160,1
34181,0
13569,0
27421,1
29705,0
54321,0
18243,1
7260,1
28724,0
36222,1
58122,0
47505,0
13876,0
9170,0
52591,0
30147,0
7262,1
18951,1
21440,1
35291,0
47303,1
41671,0
3099,0
25357,0
56119,0
25748,1
2699,0
14322,0
29098,1
56266,1
15456,1
54538,0
49002,1
40972,1
51040,1
38194,0
34749,0
44373,0
36152,1
12772,0
7521,0
13199,0
45288,1
26378,1
43587,1
50831,1
36201,0
10038,1
45489,1
44026,1
27693,0
43986,0
57644,0
495,0
56405,0
34147,1
2813,0
53367,0
40999,0
20167,0
59236,1
12551,1
20639,0
50932,0
22968,1
5525,1
16861,0
212,1
4497,1
41868,0
28871,1
51366,0
5314,0
42337,0
12533,1
17957,1
4589,0
52930,0
45870,1
41036,0
42624,0
58662,1
55046,0
17549,1
33204,0
40453,0
12707,0
50521,0
45287,0
32143,0
17658,0
47857,0
23900,0
35791,0
9131,0
51623,1
10302,0
57701,0
21954,0
284,1
8521,0
18731,0
38107,0
42442,1
17941,0
41817,0
15358,0
139,1
30812,0
52950,0
45367,0
8171,1
11032,1
48871,1
59786,1
27653,0
3086,1
19087,1
8313,0
26223,1
53469,0
7348,0
55020,1
53280,0
34967,1
14811,0
20140,1
48890,0
15300,1
12439,0
12567,1
34082,0
53646,0
8569,0
6418,0
26503,0
44866,1
5370,0
30979,0
58315,0
19017,0
54610,1
7908,0
55908,0
44531,1
22705,1
6091,1
50156,0
46193,1
7786,0
58190,0
35299,0
17473,0
54490,0
39063,0
24259,0
14934,0
27560,0
21109,0
19793,0
52063,1
28576,0
16830,0
30413,1
51740,0
29832,1
16059,0
43065,0
27980,0
36922,0
40580,0
42593,0
25236,0
56887,0
36684,0
43389,1
11193,1
49717,0
20847,1
47297,0
20782,0
44357,0
48154,0
54973,0
10268,0
58766,1
26321,0
19627,0
41850,1
51412,1
5938,0
46345,1
29797,0
27051,0
32049,0
30534,1
40012,1
34289,0
50687,0
6879,1
14481,0
45719,0
9838,1
13506,1
35036,0
51267,1
3635,0
859,1
2388,0
47246,1
42019,0
6290,0
33951,1
26102,1
24135,1
36716,0
28984,0
59813,0
1745,1
2815,0
18215,1
25322,0
52234,0
34405,1
41386,1
38197,0
20919,0
43689,0
14215,0
7422,0
1459,0
2504,0
38807,0
23605,0
20151,0
19071,1
35448,0
44343,0
41800,1
45605,0
2755,1
19018,1
18876,0
52902,1
30382,0
54871,0
44156,1
37443,0
43679,1
24224,1
42467,0
39671,0
24773,0
43015,0
7453,0
31138,0
41940,0
44165,1
27374,1
47496,1
22329,0
14170,0
45731,1
51823,1
28977,1
27393,1
10024,0
46394,1
17908,0
32330,1
39639,0
4863,0
37737,1
48455,0
14356,1
44466,0
46564,0
31551,0
5949,1
23651,0
37487,0
22566,0
57627,0
56516,1
20963,0
47411,0
8289,1
18533,0
31676,0
52080,0
24879,0
11634,0
35876,0
20981,0
3311,1
42650,0
44071,0
54831,0
8917,0
27041,0
2828,1
2687,0
35882,1
30558,1
15739,1
2232,0
20253,0
45196,1
45707,0
18131,1
26181,0
24355,1
59535,0
36774,0
11924,1
34463,0
28263,0
51747,0
20276,1
1606,0
21441,0
15442,0
12721,0
2319,1
12492,0
20950,0
44034,0
16338,0
57185,1
40344,1
6648,0
56720,1
53035,0
55513,0
43618,0
13847,0
39869,0
37808,0
23548,1
56971,0
41769,0
59512,1
59256,0
7445,0
35189,0
53480,0
39908,0
9858,1
13320,1
23877,1
1875,1
12646,1
18915,0
6414,1
25221,0
22764,1
53089,0
23703,0
9253,0
50981,0
4219,0
28523,0
34643,1
39160,1
29848,1
46701,0
45585,1
55599,0
3795,0
48143,0
41867,0
10241,0
14492,0
9515,0
22800,1
46817,0
14411,0
8539,0
56966,1
56998,0
14351,0
43794,0
15149,1
9409,0
27840,0
45062,1
26977,0
22072,1
12625,0
19865,0
6983,1
11831,0
34144,0
12573,0
51180,0
54915,0
50512,0
7688,0
38634,0
10585,1
54269,1
13413,0
58523,0
31538,0
54974,0
13287,0
50688,0
56703,0
35312,0
44104,0
44854,0
43520,1
27621,0
52137,1
8318,1
36962,0
53489,0
7105,0
1590,1
10736,0
35456,1
52376,0
9663,0
3992,0
41045,0
7495,0
12152,0
15818,1
49217,0
51501,1
26848,1
48656,1
21285,0
33675,0
6584,1
45669,0
39640,1
20953,0
35804,1
41637,0
56118,1
59796,0
5494,1
20175,0
54728,1
28804,0
9399,0
54414,0
33457,0
12112,1
22327,0
11283,0
43317,0
23220,0
49586,0
35195,1
21164,0
18323,1
319,1
6739,0
54790,1
55924,1
37639,1
38969,0
31587,1
3444,0
15750,0
24073,1
38147,0
7165,0
51664,1
21188,0
7189,1
21048,0
21694,1
39746,0
10077,1
5682,0
57215,0
8467,0
47321,0
33789,0
25896,0
58284,1
15982,0
7470,0
53422,1
14323,0
793,1
48031,1
56688,1
25820,0
50448,1
10002,0
24470,0
40773,0
7389,1
39901,0
22043,0
48913,1
33631,1
17016,1
2201,0
23275,0
57852,0
26765,1
41699,1
43091,1
18073,0
49619,1
28105,0
30818,0
30325,1
4541,0
24560,0
42013,1
37677,1
43291,0
11228,0
16368,0
21318,0
58711,0
15389,1
50656,0
13102,0
55858,0
44692,0
59374,0
47531,0
265,0
33820,0
34504,0
52494,0
13672,1
12621,0
51206,0
3461,0
43382,0
6183,0
47306,0
47066,0
3030,0
2522,0
7100,0
51436,1
21357,1
39816,1
16764,1
15599,0
3742,1
18329,0
52969,1
1146,1
8056,0
56574,0
50652,0
3070,0
28409,0
46274,0
32214,0
19803,0
42096,0
15480,0
58193,1
47100,0
19195,0
36486,0
26859,0
4764,0
40226,0
6438,1
3267,1
31888,0
40242,0
59450,0
11378,0
53048,0
22643,1
25312,0
50624,0
29059,0
47741,1
33535,1
7504,0
671,0
17837,0
12678,1
21443,1
47449,0
8573,1
31958,1
17477,1
44404,1
34190,0
41726,0
26031,0
17175,0
32929,1
48690,0
31593,0
54529,0
55278,1
32742,1
33720,0
31135,0
50754,0
16937,0
11784,0
12518,0
53498,1
22256,0
13759,0
44129,1
2236,1
40646,1
49536,0
13047,1
688,0
2668,0
15069,0
14730,1
49797,0
20646,1
41015,0
33894,0
39823,0
18130,0
90,0
55981,1
15345,1
18853,0
10641,0
12816,1
7116,1
3817,0
58566,0
33548,1
38809,0
39382,1
51661,1
59626,1
10519,0
38628,0
58756,0
20688,0
45817,0
31424,1
47209,1
4038,0
16025,0
44781,0
52363,1
8051,1
2653,1
33852,0
49470,0
25976,1
26525,0
32252,0
57707,1
3725,1
27853,0
42217,0
21393,1
43998,0
52128,0
34308,0
12036,0
58089,1
4041,1
57990,0
18685,0
46081,0
43033,0
6208,1
29537,1
58870,0
38806,0
43069,0
21054,0
29968,1
22128,0
48855,0
17114,0
3611,1
34468,0
14053,1
28137,0
739,0
17176,0
26890,0
35731,1
4351,0
51837,0
3766,1
26550,0
3759,0
48849,0
57586,0
8584,1
27458,1
45825,1
24860,0
42770,0
12916,0
46742,0
1734,0
24707,0
56885,1
25984,0
41441,0
35960,0
38470,0
49252,0
55852,0
3621,0
28155,0
45085,0
59739,1
35365,1
48926,1
10849,1
7055,1
34808,0
43527,0
28075,1
8504,1
53012,0
308,0
20381,1
51139,0
19540,1
14628,0
13380,0
33749,0
6710,0
52673,0
26728,0
7568,0
11227,0
36074,0
51417,1
40866,0
1306,0
49534,0
31168,1
3177,0
37957,1
52235,1
50525,0
57491,0
41757,1
14849,1
9731,0
5618,1
6159,0
9720,0
28313,0
52695,0
6044,1
2108,0
36687,0
38839,0
15722,0
23500,0
10741,1
41316,0
14800,0
13399,1
16149,0
645,0
27638,0
49472,0
17349,1
40335,0
4870,1
14661,0
41096,0
23598,1
22640,0
31750,0
49404,0
53780,0
43412,1
6289,1
15753,0
17104,0
25114,1
10516,0
3803,0
9237,1
6505,0
49007,1
11554,1
37459,1
48395,0
54533,1
15156,0
28732,1
11687,1
39012,0
4457,1
31505,0
24262,1
4755,0
13680,0
28502,0
4849,1
40286,1
56566,0
13087,0
10897,0
9713,0
38278,1
47748,0
49928,1
37908,0
52303,1
42974,1
44090,1
36439,1
38050,1
3098,1
30619,0
49247,1
43223,0
29401,0
45025,0
47967,1
46427,0
55930,0
21309,0
31805,1
54513,1
51519,0
58299,1
29882,1
43995,0
19619,1
51476,1
32566,0
26864,0
33001,0
50907,1
50596,0
27878,0
53266,0
8498,0
6972,1
37669,0
903,0
7722,0
41339,1
1979,1
44702,0
18949,1
43835,1
37334,0
11865,0
773,0
28841,1
44117,1
40079,1
45020,1
28270,0
27071,1
28658,0
17087,1
21568,0
21011,1
45345,1
29803,0
6188,0
33857,1
52359,1
14887,1
50473,0
52672,0
46095,0
58137,0
21058,1
19577,1
38570,0
46030,0
11605,0
20078,0
36828,1
59302,0
24688,0
14540,1
32940,1
32577,1
27997,1
6966,1
37012,0
59403,0
22168,0
15015,0
52649,0
49475,0
21575,0
2826,0
16464,1
